Age_Ma,LT_reconstructed
-1.508800000000000239e+02,-1.453461944828164860e+02
-1.508600000000000136e+02,-1.452941195715617368e+02
-1.508400000000000034e+02,-1.452409014002442120e+02
-1.508200000000000216e+02,-1.451865360077293019e+02
-1.508000000000000114e+02,-1.451310194328823115e+02
-1.507800000000000011e+02,-1.450743477145687450e+02
-1.507600000000000193e+02,-1.450165168916542200e+02
-1.507400000000000091e+02,-1.449575230030039563e+02
-1.507199999999999989e+02,-1.448973620874835433e+02
-1.507000000000000171e+02,-1.448360301839584281e+02
-1.506800000000000068e+02,-1.447735233312939727e+02
-1.506600000000000250e+02,-1.447098375683557947e+02
-1.506400000000000148e+02,-1.446449689340091140e+02
-1.506200000000000045e+02,-1.445789134671194631e+02
-1.506000000000000227e+02,-1.445116672065524597e+02
-1.505800000000000125e+02,-1.444432261911732951e+02
-1.505600000000000023e+02,-1.443735864598475303e+02
-1.505400000000000205e+02,-1.443027440514407544e+02
-1.505200000000000102e+02,-1.442306950048181875e+02
-1.505000000000000000e+02,-1.441574353588453619e+02
-1.504800000000000182e+02,-1.440829611523878384e+02
-1.504600000000000080e+02,-1.440072684243108938e+02
-1.504399999999999977e+02,-1.439303532134800321e+02
-1.504200000000000159e+02,-1.438522115587608425e+02
-1.504000000000000057e+02,-1.437728394990185450e+02
-1.503800000000000239e+02,-1.436922330731188140e+02
-1.503600000000000136e+02,-1.436103883199268978e+02
-1.503400000000000034e+02,-1.435273012783083288e+02
-1.503200000000000216e+02,-1.434429679871286680e+02
-1.503000000000000114e+02,-1.433573844852531352e+02
-1.502800000000000011e+02,-1.432705468115472911e+02
-1.502600000000000193e+02,-1.431824510048767536e+02
-1.502400000000000091e+02,-1.430930931041066572e+02
-1.502199999999999989e+02,-1.430024691481026480e+02
-1.502000000000000171e+02,-1.429105751757302301e+02
-1.501800000000000068e+02,-1.428174072258546516e+02
-1.501600000000000250e+02,-1.427229613373416157e+02
-1.501400000000000148e+02,-1.426272335490563137e+02
-1.501200000000000045e+02,-1.425302198998642211e+02
-1.501000000000000227e+02,-1.424319164286310979e+02
-1.500800000000000125e+02,-1.423323191742220217e+02
-1.500600000000000023e+02,-1.422314241755025535e+02
-1.500400000000000205e+02,-1.421292274713383676e+02
-1.500200000000000102e+02,-1.420257251005945704e+02
-1.500000000000000000e+02,-1.419209131021367796e+02
-1.499800000000000182e+02,-1.418147875148305559e+02
-1.499600000000000080e+02,-1.417073443775410908e+02
-1.499399999999999977e+02,-1.415985797291339452e+02
-1.499200000000000159e+02,-1.414884896084747652e+02
-1.499000000000000057e+02,-1.413770700544286569e+02
-1.498800000000000239e+02,-1.412643171058614087e+02
-1.498600000000000136e+02,-1.411502268016381549e+02
-1.498400000000000034e+02,-1.410347951806244851e+02
-1.498200000000000216e+02,-1.409180182816859883e+02
-1.498000000000000114e+02,-1.407998921436878561e+02
-1.497800000000000011e+02,-1.406804128054956209e+02
-1.497600000000000193e+02,-1.405595763059749572e+02
-1.497400000000000091e+02,-1.404373786839909997e+02
-1.497199999999999989e+02,-1.403138159784093091e+02
-1.497000000000000171e+02,-1.401888842280955032e+02
-1.496800000000000068e+02,-1.400625794719147166e+02
-1.496600000000000250e+02,-1.399348977487327659e+02
-1.496400000000000148e+02,-1.398058350974146720e+02
-1.496200000000000045e+02,-1.396753875568261947e+02
-1.496000000000000227e+02,-1.395435511658328664e+02
-1.495800000000000125e+02,-1.394103219632997082e+02
-1.495600000000000023e+02,-1.392756959880924796e+02
-1.495400000000000205e+02,-1.391396692790767702e+02
-1.495200000000000102e+02,-1.390022378751176575e+02
-1.495000000000000000e+02,-1.388633978150807877e+02
-1.494800000000000182e+02,-1.387231451378317786e+02
